"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH"
"424",1308,"2013-12-13",-2.102,16.773,34.283,95.618
"425",1308,"2013-12-14",1.044,17.819,42.34,96.092
"426",1308,"2013-12-15",-0.171,17.201,44.748,100
"427",1308,"2013-12-16",1.262,17.13,43.042,94.446
"428",1308,"2013-12-17",1.48,18.271,36.32,92.232
"429",1308,"2013-12-18",2.823,15.939,46.058,91.345
"430",1308,"2013-12-19",4.869,15.079,20.507,80.434
"431",1308,"2013-12-20",2.289,17.843,19.206,65.901
"432",1308,"2013-12-21",7.015,18.889,46.728,92.5
"433",1308,"2013-12-22",5.924,19.627,44.276,93.795
"434",1308,"2013-12-23",1.805,19.555,43.817,99.018
"435",1308,"2013-12-24",3.354,20.698,42.764,97.318
"436",1308,"2013-12-25",1.859,19.199,31.311,99.897
"437",1308,"2013-12-26",1.453,19.936,31.972,85.457
"438",1308,"2013-12-27",0.66,15.414,35.291,83.513
"439",1308,"2013-12-28",-0.676,21.748,17.116,86.742
"440",1308,"2013-12-29",4.869,18.461,16.633,61.405
"441",1308,"2013-12-30",-0.06,16.796,33.427,75.615
"442",1308,"2013-12-31",2.155,16.272,38.835,85.136
"443",1309,"2013-05-25",8.295,24.002,27.669,80.214
"444",1309,"2013-05-26",11.565,24.895,31.344,86.414
"445",1309,"2013-05-27",10.614,16.463,68.324,99.615
"446",1309,"2013-05-28",12.364,23.905,49.907,100
"447",1309,"2013-05-29",12.823,26.426,27.828,84.432
"448",1309,"2013-05-30",9.386,28.543,20.686,84.312
"449",1309,"2013-05-31",11.37,34.124,17.895,74.407
"450",1309,"2013-06-01",14.816,34.413,24.144,58.482
"451",1309,"2013-06-02",14.457,31.153,26.437,71.57
"452",1309,"2013-06-03",10.687,20.722,55.046,91.035
"453",1309,"2013-06-04",10.736,19.27,59.664,91.906
"454",1309,"2013-06-05",10.687,24.291,48.939,97.842
"455",1309,"2013-06-06",9.756,27.308,45.156,98.656
"456",1309,"2013-06-07",9.361,36.2,25.2,98.301
"457",1309,"2013-06-08",12.703,36.092,31.64,89.387
"458",1309,"2013-06-09",12.63,19.103,66.937,91.259
"459",1309,"2013-06-10",12.364,14.697,89.93,99.889
"460",1309,"2013-06-11",10.907,25.695,50.493,100
"461",1309,"2013-06-12",10.638,28.493,24.263,78.44
"462",1309,"2013-06-13",NA,NA,NA,NA
"463",1309,"2013-06-14",55.647,88.626,17.463,69.052
"464",1309,"2013-06-15",49.737,83.332,31.123,90.874
